id,date_added,incident_date,city,state,crime_type,camera_role,outcome,summary,source_name,source_url,additional_sources,confidence
1,2026-08-13,2026-08-13,Pinebluff,NC,homicide,evidence from Flock Safety camera network identified suspect,arrest,"Three people were found dead in a Pinebluff home on August 13, 2026. Flock Safety camera evidence, along with other evidence, helped identify Demetrius Louis Aggelis as the suspect, leading to his arrest and charges of three counts of murder and one count of first-degree burglary.",abc11.com,https://abc11.com/post/pinebluff-man-custody-following-triple-homicide-investigation/19670563/,,high
2,2026-08-13,2025-12-23,Columbus,OH,homicide,LPR hit located suspect vehicle,suspect arrested and charged,"Spencer Tepe and his wife Monique were fatally shot in their home in late December 2025. Columbus police used Flock Safety license plate reading cameras to locate the suspect, Monique's ex-husband Michael McKee, who has been charged with aggravated murder.",yahoo.com,https://www.yahoo.com/news/us/articles/tepe-father-says-privacy-concerns-220532177.html,https://www.yahoo.com/news/us/articles/tepe-family-member-weighs-flock-093000659.html https://www.nbc4i.com/news/local-news/columbus/tepe-family-member-weighs-in-on-flock-camera-debate-credits-cameras-for-arrest/amp/,high
3,2026-08-13,2026-08-10,Scotch Plains,NJ,other,LPR detection alerted police to suspect vehicle location,arrest,"Toyin Adekale Patterson, wanted on a child rape charge from Tennessee, was arrested in Scotch Plains, New Jersey after a Flock Safety camera detected his vehicle and alerted police, enabling a traffic stop and apprehension.",local3news.com,https://www.local3news.com/local-news/east-tennessee-man-wanted-on-child-rape-charge-arrested-in-new-jersey-with-help-from/article_1220b583-898f-48cf-b1a2-f647cec2fb10.html,https://www.wsmv.com/2026/08/09/flock-camera-new-jersey-helps-lead-arrest-tennessee-man-wanted-connection-child-rape-charge-sheriffs-office/ https://www.tapinto.net/towns/scotch-plains-slash-fanwood/sections/police-and-fire/articles/fanwood-police-arrest-wanted-tennessee-man-after-flock-camera-alert-in-scotch-plains,high
4,2026-08-13,2026-08-12,Flint,MI,shooting,used in investigation of shooting incident,investigation ongoing,Two teens were killed in a shooting on James P. Cole Boulevard in Flint after a fight broke out in a crowd. Flint Police used Flock camera technology in their investigation of the incident.,midmichigannow.com,https://midmichigannow.com/news/local/surge-in-gun-violence-leaves-three-people-dead-flint-police-increase-patrols,,high
5,2026-08-13,2026-07-29,Carson City,NV,vehicle theft,Flock camera detected stolen U-Haul vehicle,arrest,A 52-year-old woman was arrested after a Flock camera detected a stolen U-Haul vehicle in the South Carson Street area. Deputies located the vehicle and apprehended the suspect as she attempted to enter it.,carsonnow.org,https://www.carsonnow.org/08/10/2026/carson-city-couple-jailed-for-alleged-child-neglect-abuse-after-filthy-conditions-found-inside-home,,high
6,2026-08-13,2026-08-09,Lorain,OH,homicide,"LPR search tracked stolen vehicle through multiple cities, guiding officers to suspect location","arrest, charged with murder","A 16-year-old is accused of killing his grandfather and stealing his vehicle. Flock cameras captured the vehicle's license plate in Avon Lake, Westlake, North Ridgeville, and North Olmsted, enabling officers to locate and stop the suspect on Interstate 480 within 30 minutes of the discovery of the crime.",police1.com,https://www.police1.com/police-products/traffic-enforcement/license-plate-readers/ohio-police-credit-alpr-system-for-capture-of-murder-suspect-in-less-than-30-minutes,https://www.wkyc.com/video/news/local/3news-at-4/lorain-police-reveal-how-flock-cameras-helped-lead-to-arrest-of-teen-accused-of-killing-grandfather/95-83956128-a689-40fb-a310-0a6bda2cbdd8 https://www.wkyc.com/article/news/local/lorain-county/lorain-robert-lewis-killed-g-street-shooting-16-year-old-arrested-police-press-conference/95-1ce83684-ec1f-41bd-b9aa-b6d0c478db80,high
7,2026-08-13,2026-08-08,Frenchtown Township,MI,vehicle theft,Real-time alert detected stolen vehicle location,Two suspects arrested,"A stolen vehicle from Redford Township was located at a Frenchtown hotel after a Flock camera alert on North Dixie Highway and I-75. Two suspects were apprehended after fleeing the scene, with one found in a nearby soybean field.",yahoo.com,https://www.yahoo.com/news/us/articles/police-track-stolen-car-frenchtown-144404684.html,https://www.monroenews.com/story/news/crime/2026/08/10/two-arrested-in-frenchtown-michigan-after-camera-tracks-stolen-car/91234625007/,high
8,2026-08-13,2026-08-10,Decaturville,TN,other,LPR alert identified suspect vehicle matching active warrant,arrest,"Jayson Bills, wanted for aggravated rape of a child in Hardin County, was arrested in Decatur County after the county's Flock Safety license plate reader system detected his vehicle and alerted deputies to his location.",WSMV,https://www.wsmv.com/2026/08/11/flock-camera-credited-with-arrest-accused-child-rapist-decatur-county-tn/,https://www.wbbjtv.com/2026/08/11/flock-camera-leads-rape-suspect-arrest-decatur-county/ https://www.nbc39.com/news/crime/flock-camera-leads-to-arrest-of-hardin-county-man-wanted-on-child-rape-charges/article_c00414bc-1764-428d-848b-0feb08a357dd.html,high
9,2026-08-13,2026-08-11,,TX,other,assisted in vandalism investigation leading to arrests,arrests,Flock cameras assisted Central Texas law enforcement in a vandalism case that led to arrests. Law enforcement defended the cameras as an essential tool.,KCENTV.com,https://www.kcentv.com/article/news/local/central-texas-law-enforcement-defends-flock-cameras/500-12b8f281-7d0a-4ef8-a527-ba7a3b9516e2,,low
10,2026-08-13,2026-08-06,,WI,drug offense,tracked suspect across state lines,arrest,"Wisconsin police used Flock cameras to track a man across state lines, leading to his arrest on drug charges.",Gizmodo,https://gizmodo.com/wisconsin-cops-tracked-a-man-with-flock-cameras-to-arrest-him-for-weed-2000795424,,low
