date,added
2026-08-15,2
2026-08-16,1
2026-08-17,3
2026-08-18,7
2026-08-19,7
2026-08-20,9
2026-08-21,6
2026-08-22,3
2026-08-23,2
2026-08-24,2
2026-08-25,7
2026-08-26,4
2026-08-27,8
2026-08-28,2
2026-08-29,2
2026-08-30,2
2026-08-31,1
2026-09-01,2
2026-09-02,6
2026-09-03,6
2026-09-04,4
2026-09-05,3
2026-09-06,2
2026-09-07,1
2026-09-08,1
2026-09-09,5
2026-09-10,10
2026-09-11,4
2026-09-12,2
2026-09-13,1
2026-09-14,4
2026-09-15,1
2026-09-16,2
2026-09-17,3
2026-09-18,3
2026-09-19,0
2026-09-20,2
2026-09-21,2
2026-09-22,2
2026-09-23,1
2026-09-24,3
2026-09-25,4
